# id	length	introns	RNAseq	isoforms	strand
ch.10010	1001	2	429519	277490	+
ch.8322	806	2	53160	25804	+
ch.1982	958	1	357439	305300	+
ch.10197	761	2	305289	136615	+
ch.19756	901	1	17690	292812	+
ch.10164	599	1	225111	946	+
ch.17584	659	1	106710	14513	+
ch.4286	975	2	505401	548239	+
ch.8100	587	1	13220	6135	+
ch.18265	793	3	82484	298691	+
ch.3068	818	3	72694	36907	+
ch.7492	949	1	371391	148209	+
ch.649	969	2	611986	429983	+
ch.13873	1097	2	394029	540926	+
ch.14110	888	3	163388	24638	+
ch.618	858	1	2118700	351692	+
ch.5954	994	3	144976	450963	+
ch.6739	926	1	811640	64671	+
ch.2330	826	2	5179870	62381	+
ch.1388	885	2	1911280	117750	+
ch.6768	707	2	148459	31818	+
ch.5501	864	3	2943880	86213	+
ch.14064	665	1	899297	30571	+
ch.15099	550	1	19403	1454	+
ch.13484	537	1	5547140	515	+
ch.7974	713	2	13674	4221	+
ch.16130	833	1	92809	353661	+
ch.13655	688	1	119390	13211	+
ch.7964	478	1	11273	176	+
ch.7824	654	2	20362500	3901	+
ch.13614	639	1	2710080	5945	+
ch.7554	1102	2	529118	149964	+
ch.8829	1052	2	2843070	748223	+
ch.7785	805	3	10778	218941	+
ch.5511	834	1	94358	61877	+
ch.8938	838	3	22118	847677	+
ch.5647	548	1	505946	3147	+
ch.9481	1015	2	3094310	132887	+
ch.9902	669	1	463918	1184	+
ch.16114	682	2	768778	78684	+
ch.13513	734	1	18510	27865	+
ch.13981	693	1	852236	66278	+
ch.14262	967	2	11845	136835	+
ch.13542	767	1	14317	25942	+
ch.6002	554	1	61791	815	+
ch.11249	729	1	911828	83662	+
ch.1662	805	1	166961	624984	+
ch.11189	568	1	45623	4139	+
ch.15751	868	2	61404	133158	+
ch.1411	1113	1	244798	876716	+
ch.15522	737	2	256042	59940	+
ch.17427	926	2	10667	671142	+
ch.16908	929	1	18212	254682	+
ch.19632	792	1	254861	92437	+
ch.241	776	2	455172	29877	+
ch.10051	724	2	96220	38873	+
ch.15456	644	1	352041	851	+
ch.3571	920	2	162101	45142	+
ch.1425	776	2	128731	20025	+
ch.6305	1043	3	754109	518052	+
ch.1647	783	1	1150860	71005	+
ch.1804	1049	1	17820	313208	+
ch.6076	1084	2	44273	998547	+
ch.14418	696	1	28927	28133	+
ch.14789	752	2	81154	857	+
ch.19524	693	1	92528	9605	+
ch.3414	612	1	33938	14787	+
ch.15533	827	1	1275460	44049	+
ch.19854	1030	1	42078	281945	+
ch.8150	991	2	226538	71356	+
ch.3824	1082	2	66657	409895	+
ch.17917	721	1	293210	21788	+
ch.6382	823	1	17627100	33391	+
ch.15952	967	1	239493	708242	+
ch.11796	1047	3	165934	359363	+
ch.16045	544	1	72737	405	+
ch.5955	1020	2	222895	518083	+
ch.2036	987	3	184973	831406	+
ch.619	859	1	16501	110377	+
ch.1158	1010	1	1894270	181190	+
ch.11573	831	2	36952	512845	+
ch.14216	894	1	26770	10295	+
ch.2331	894	2	15781400	160223	+
ch.9894	988	2	188460	727693	+
ch.18341	742	2	62258	64547	+
ch.5500	873	3	571170	156302	+
ch.14307	1017	1	1098750	408684	+
ch.18310	711	1	19777	9469	+
ch.9675	851	2	227598	106203	+
ch.14065	684	1	462516	4351	+
ch.9735	647	1	17148	11763	+
ch.5773	754	1	273817	19187	+
ch.18033	928	2	15106	93567	+
ch.13644	838	1	11988	235854	+
ch.13615	585	1	4415550	1363	+
ch.7784	870	2	44731	141802	+
ch.16243	919	1	57129	616676	+
ch.13526	827	1	11289	330251	+
ch.18211	780	2	40805	63231	+
ch.749	603	1	3613520	7125	+
ch.9711	727	1	85673	8533	+
ch.2077	1124	2	241238	249707	+
ch.11936	698	2	248687	37517	+
ch.11635	740	2	342901	40685	+
ch.9903	771	1	4254710	77419	+
ch.13973	1140	1	1434490	882464	+
ch.19955	653	1	395097	2802	+
ch.17744	689	1	133192	2705	+
ch.8111	940	3	10801	668661	+
ch.19716	838	2	107498	239179	+
ch.17715	521	1	50931	189	+
ch.6112	873	1	273411	497780	+
ch.15750	505	1	40781	417	+
ch.17537	806	2	508210	22090	+
ch.5108	866	3	44250	40447	+
ch.1501	1137	1	585788	570667	+
ch.15523	528	1	16985	487	+
ch.3643	871	3	56743	666315	+
ch.4072	962	3	184737	356380	+
ch.8096	587	1	47747	6135	+
ch.19500	884	2	32171	123794	+
ch.10192	1039	2	491874	425484	+
ch.4330	723	1	351213	29606	+
ch.3632	763	2	47907	22358	+
ch.19801	744	1	12766	5644	+
ch.1834	848	2	13219	119821	+
ch.15816	772	1	824891	37878	+
ch.6017	579	1	1479470	293	+
ch.8385	840	2	683935	225079	+
ch.17406	967	1	314606	110013	+
ch.1461	795	3	372245	39843	+
ch.4184	760	1	51781	35463	+
ch.12272	758	1	26396	146539	+
ch.4355	945	1	16721	198527	+
ch.8342	656	2	2193660	1926	+
ch.8160	549	1	24085	165	+
ch.3657	538	1	91327	420	+
ch.4126	885	3	10373	849589	+
ch.10295	970	1	409380	526295	+
ch.1800	893	1	14889	41874	+
ch.9513	830	2	571515	6115	+
ch.7541	1062	3	607322	742746	+
ch.14303	639	1	66464	3644	+
ch.3288	532	1	383317	649	+
ch.13953	789	1	12357	18095	+
ch.7672	841	2	505427	32546	+
ch.18136	639	1	671190	3727	+
ch.9832	602	1	452526	6318	+
ch.13506	683	1	31787	37600	+
ch.7464	767	1	858095	31270	+
ch.2210	800	2	48745	13293	+
ch.13786	1045	1	311391	453989	+
ch.16150	663	1	91206	512	+
ch.5613	809	3	659619	233395	+
ch.7955	705	2	1912090	43717	+
ch.6749	708	1	1268240	2845	+
ch.6598	834	2	5278400	51927	+
ch.8909	545	1	1372690	549	+
ch.9566	1117	2	84612	123619	+
ch.5431	973	2	7499090	575193	+
ch.16273	679	1	24693	3897	+
ch.11881	722	2	524483	159535	+
ch.779	735	2	685191	13785	+
ch.14071	745	1	1701750	5298	+
ch.5924	683	1	16636	52761	+
ch.2047	1080	2	365793	981342	+
ch.10908	925	2	1803020	28958	+
ch.9692	869	1	14628	58194	+
ch.17877	911	1	16564	581193	+
ch.15760	619	1	442722	2263	+
ch.8030	877	1	18598400	512197	+
ch.10394	836	2	389491	110206	+
ch.6240	805	1	48145	21731	+
ch.1420	1101	2	280585	899064	+
ch.8352	752	2	506198	232701	+
ch.1560	718	2	62239	67721	+
ch.8243	792	3	22780	120799	+
ch.15614	773	2	142334	193189	+
ch.1636	966	2	396498	202772	+
ch.6396	922	2	391423	439220	+
ch.15946	604	1	80653	373	+
ch.8277	673	1	99732	5641	+
ch.7739	916	3	428536	410392	+
ch.17312	1146	1	30328	844378	+
ch.8895	658	1	2219720	11771	+
ch.19251	727	1	39577	3212	+
ch.15097	1082	2	16520	541712	+
ch.10463	898	2	257520	582919	+
ch.15124	1077	1	288647	206925	+
ch.540	520	1	221986	885	+
ch.9518	1004	1	1483150	451403	+
ch.1157	746	1	3507470	52157	+
ch.14219	535	1	149915	267	+
ch.5719	1024	1	366719	782408	+
ch.4475	1103	1	67714	596728	+
ch.6430	937	1	20682	679506	+
ch.2039	843	2	17741	85397	+
ch.1250	1048	2	710053	350046	+
ch.8433	756	2	3698550	20207	+
ch.1201	598	1	320894	2906	+
ch.12962	711	1	10381000	145367	+
ch.6612	623	1	55628	4105	+
ch.1072	834	1	954598	23573	+
ch.10976	671	1	15583	3737	+
ch.7370	931	2	313630	123607	+
ch.13352	1047	3	255362	221594	+
ch.4119	742	1	1409250	60635	+
ch.2784	650	2	1269480	16863	+
ch.11346	808	2	10222400	315667	+
ch.3728	1041	1	72228	787050	+
ch.7292	986	2	786538	523820	+
ch.18855	966	3	131100	620493	+
ch.18915	813	1	333507	148542	+
ch.298	663	1	449660	5233	+
ch.10088	953	2	77621	374872	+
ch.13277	1045	1	12960	870280	+
ch.7204	993	3	202321	494655	+
ch.18451	644	1	1265880	7485	+
ch.13395	768	1	1622640	46842	+
ch.15448	942	2	331188	280219	+
ch.8089	644	1	65100	2995	+
ch.8209	732	1	398121	15385	+
ch.11381	719	1	679009	30478	+
ch.8349	920	1	27549	138282	+
ch.8359	884	1	34084	290492	+
ch.14866	694	2	15361	8975	+
ch.14625	690	1	6760920	97143	+
ch.15549	683	2	48866	1905	+
ch.14734	830	1	1331140	380331	+
ch.15518	895	1	133201	260046	+
ch.9306	565	1	14561	1579	+
ch.6178	786	1	373585	12307	+
ch.1489	1032	2	18435	503566	+
ch.5200	768	2	825411	59720	+
ch.5156	831	3	60387	186462	+
ch.5016	768	1	244146	18560	+
ch.13253	827	2	33076	298524	+
ch.4109	920	3	31658	985945	+
ch.10725	1007	1	1320860	183155	+
ch.8710	871	1	174907	290017	+
ch.10937	917	1	262143	216006	+
ch.10774	757	1	670343	65513	+
ch.11939	755	2	171489	66501	+
ch.5618	755	2	145129	55699	+
ch.1240	996	3	338179	612452	+
ch.17227	1096	1	28329	39388	+
ch.6560	864	2	66133	439726	+
ch.8827	1084	1	932153	503525	+
ch.17031	591	1	36822	10108	+
ch.19123	853	2	636538	35738	+
ch.1274	822	2	1286470	64667	+
ch.8786	817	2	572246	13443	+
ch.19350	620	1	376329	14603	+
ch.1205	616	1	2120170	1101	+
ch.4560	834	3	887487	44872	+
ch.4471	659	1	45938	17227	+
ch.9809	892	1	17443	476795	+
ch.3180	904	2	83483	123691	+
ch.10682	812	2	19147	194513	+
ch.15054	1068	3	15585	706861	+
ch.1076	842	1	684439	61061	+
ch.12966	702	1	9650150	36167	+
ch.6707	735	1	222201	3900	+
ch.19152	603	1	552692	743	+
ch.6804	510	1	21612	1488	+
ch.8683	908	2	1172270	271759	+
ch.19255	697	1	93019	1223	+
ch.3225	1028	1	81649	162951	+
ch.15093	973	2	333790	636664	+
ch.6451	880	1	650078	152745	+
ch.8891	1025	1	16331	448779	+
ch.11578	1031	2	570161	817642	+
ch.3287	522	1	807866	336	+
ch.5888	825	1	200314	74333	+
ch.12740	776	1	764419	87693	+
ch.10645	879	2	1193980	106159	+
ch.10806	968	2	149890	748028	+
ch.4824	776	1	11928	165883	+
ch.14553	833	2	17012	57436	+
ch.18544	834	2	412520	127989	+
ch.18626	705	1	142283	15569	+
ch.18677	721	1	19944	16579	+
ch.14823	563	1	50616	406	+
ch.14567	833	2	17002	57436	+
ch.7325	938	2	14141	495417	+
ch.5331	780	2	416830	12719	+
ch.13216	989	2	287915	936119	+
ch.5053	1037	1	820371	332133	+
ch.18643	892	2	96449	611249	+
ch.18940	765	1	12005	6206	+
ch.14916	637	1	73276	840	+
ch.13075	969	2	192711	374403	+
ch.16650	536	1	31803	371	+
ch.15439	840	1	29624	19659	+
ch.8278	820	1	528825	57681	+
ch.15468	780	1	61467	276421	+
ch.6008	584	1	292585	477	+
ch.13206	928	1	48337	21595	+
ch.13197	467	1	76040	180	+
ch.5321	733	2	88284	40731	+
ch.6059	614	1	152925	991	+
ch.7172	752	1	364958	16166	+
ch.17419	863	1	51059	157536	+
ch.19999	909	1	3404150	168860	+
ch.18875	635	1	293882	4363	+
ch.14621	613	1	776116	6742	+
ch.17829	829	1	908046	121612	+
ch.7301	916	2	422946	247866	+
ch.6632	600	1	539627	3025	+
ch.15130	901	2	22759	702771	+
ch.10847	1161	2	505788	694655	+
ch.445	973	2	414589	822270	+
ch.4795	610	1	22318	2339	+
ch.6441	615	1	15156	1750	+
ch.3235	847	2	418269	11350	+
ch.8594	620	1	232434	1201	+
ch.15015	1097	2	26643	677269	+
ch.4851	870	2	10546	262585	+
ch.10661	912	3	332950	309801	+
ch.19053	791	2	29291	15381	+
ch.20167	1139	1	220325	739103	+
ch.593	988	3	30041	781535	+
ch.10443	830	2	13683	342682	+
ch.17223	939	2	14756	117904	+
ch.8476	655	1	23742	12311	+
ch.1184	609	1	364084	4185	+
ch.702	793	2	18219200	325706	+
ch.8806	690	1	99251	5576	+
ch.6757	694	1	1831880	2220	+
ch.12775	855	1	2553800	107071	+
ch.19013	819	2	180608	70155	+
ch.13508	688	1	10002	7921	+
ch.4900	985	1	7694390	842979	+
ch.4444	952	2	160198	332182	+
ch.2148	837	2	86324	327381	+
ch.2119	845	2	10426	190755	+
ch.8620	973	1	56582	49283	+
ch.17024	966	2	12571	108803	+
ch.15121	775	1	46918	11231	+
ch.12741	437	1	10018	54	+
ch.3748	750	1	66108	24156	+
ch.17838	883	2	36261	332022	+
ch.18767	751	1	88929	63037	+
ch.10379	953	2	333695	302975	+
ch.18676	618	1	9983050	3949	+
ch.7375	819	2	440008	125635	+
ch.2931	863	1	285847	86447	+
ch.7157	697	1	119746	17058	+
ch.15539	795	2	17932	9703	+
ch.16853	868	2	64287	94740	+
ch.12308	947	1	476203	81381	+
ch.14917	560	1	87028	163	+
ch.11171	585	1	16427	2136	+
ch.9395	507	1	17176400	870	+
ch.1999	779	1	28575	113412	+
ch.2762	553	1	421472	211	+
ch.8339	795	1	1728840	17891	+
ch.2892	891	2	1336750	211324	+
ch.6009	719	1	95098	3028	+
ch.49	1089	3	336256	596104	+
ch.18421	893	2	1001930	97151	+
ch.7033	797	2	60327	14294	+
ch.10369	549	1	81867	278	+
ch.14923	535	1	150371	97	+
ch.9183	591	1	407146	471	+
ch.1053	897	3	158680	194498	+
ch.6870	613	1	901164	2703	+
ch.15131	814	3	10879	146976	+
ch.10906	964	2	3575310	227071	+
ch.3234	561	1	34495	931	+
ch.11959	919	3	776973	486083	+
ch.20084	1022	2	569765	733635	+
ch.15294	653	1	2073520	17844	+
ch.10720	967	1	956447	228948	+
ch.13549	791	1	11293	93499	+
ch.7598	971	1	431528	409914	+
ch.7718	1030	2	522723	307044	+
ch.9929	679	1	108211	5986	+
ch.10462	615	1	18238	2579	+
ch.8764	909	2	109145	51005	+
ch.5489	866	2	108490	230997	+
ch.3185	1015	2	23841	185372	+
ch.8463	968	2	471985	223143	+
ch.6520	634	1	26444	5752	+
ch.19375	932	2	1567900	236705	+
ch.1340	929	2	311168	40812	+
ch.1200	801	1	1501530	16701	+
ch.3067	621	1	11836	769	+
ch.15140	970	1	455117	160462	+
ch.1162	1023	2	493837	579020	+
ch.4487	670	1	95626	1191	+
ch.13213	638	1	11673	8679	+
ch.2886	897	1	20585600	460586	+
ch.18524	1120	2	14121	710287	+
ch.4009	889	1	42319	38333	+
ch.18914	813	1	154712	27180	+
ch.2531	1050	2	44935	372576	+
ch.11262	918	1	1067920	297071	+
ch.18450	651	1	1487660	6165	+
ch.9086	1057	3	1429520	692134	+
ch.13394	510	1	536211	39	+
ch.18672	585	1	3378800	2757	+
ch.18971	748	1	10337	45079	+
ch.16731	724	2	96098	35566	+
ch.9164	1023	3	98225	522616	+
ch.16661	910	2	56197	387960	+
ch.7126	912	1	164536	297297	+
ch.14927	572	1	111841	99	+
ch.2800	726	2	71778	9850	+
ch.14735	929	1	1981920	582147	+
ch.8309	813	3	501101	34739	+
ch.7184	855	1	205249	15363	+
ch.16783	1061	2	39492	410571	+
ch.18780	889	2	1089230	235614	+
ch.16692	890	1	124528	267729	+
ch.9356	1062	2	262605	601465	+
ch.15869	604	1	2482110	734	+
ch.1599	881	1	484370	308339	+
ch.7003	903	2	12104	282133	+
ch.2766	827	1	101581	151380	+
ch.18815	702	1	19990	18396	+
ch.5046	1071	2	204765	391427	+
ch.16816	1090	2	20196	154403	+
ch.17539	661	3	23297	5461	+
ch.11357	1053	2	31810	515957	+
ch.565	948	2	157120	842031	+
ch.8952	953	1	1031310	256932	+
ch.19116	708	2	2372950	18075	+
ch.19287	917	1	52848	170109	+
ch.6483	799	2	70552	63587	+
ch.1172	831	2	490571	58905	+
ch.20080	1008	1	2248660	441151	+
ch.4757	598	1	11922	434	+
ch.19007	901	1	244182	184243	+
ch.19225	1055	1	10753	349131	+
ch.4524	685	1	25428	3901	+
ch.19033	931	2	29682	556553	+
ch.15164	592	1	3668820	3273	+
ch.8634	961	2	603247	585977	+
ch.8966	1172	1	14330	206851	+
ch.3370	890	1	47990	13731	+
ch.19351	565	1	13342	5028	+
ch.6996	938	2	402391	147519	+
ch.1074	884	1	981828	102641	+
ch.1316	937	2	56693	250141	+
ch.750	551	1	43834400	153	+
ch.12554	805	1	444973	136845	+
ch.19263	987	2	407573	289411	+
ch.8524	837	1	3375380	39874	+
ch.4665	801	1	990833	137931	+
ch.19075	966	2	1699620	404309	+
ch.4725	736	1	417122	11255	+
ch.15173	619	1	315151	3895	+
ch.12653	593	1	27836	1951	+
ch.4774	830	2	741196	98851	+
ch.6453	905	2	170942	178578	+
ch.4556	960	1	6008290	614746	+
ch.8790	894	1	56913	730715	+
ch.1373	943	3	33792	386107	+
ch.10525	745	2	566128	25834	+
ch.4696	1037	3	340189	497737	+
ch.3367	490	1	12602	407	+
ch.15300	884	1	303944	203228	+
ch.15091	686	1	4742840	2857	+
ch.18675	718	1	562383	153243	+
ch.14633	849	1	95633	87225	+
ch.2485	1039	1	256480	244312	+
ch.2654	1028	2	2014200	967299	+
ch.6238	825	1	57772	151916	+
ch.7376	571	1	546512	1502	+
ch.11191	975	1	137223	514871	+
ch.7337	937	2	335698	307273	+
ch.15759	701	1	22099	2809	+
ch.18480	604	1	18940	1259	+
ch.11063	643	2	10918	7890	+
ch.9091	733	2	495742	29926	+
ch.10288	585	1	30048	342	+
ch.10399	732	2	265446	69872	+
ch.5346	1044	2	68863	648835	+
ch.5206	831	1	664305	156690	+
ch.2947	712	1	307510	18104	+
ch.14920	806	1	14441	107680	+
ch.7170	708	1	233258	21365	+
ch.19449	1110	3	143290	749468	+
ch.14672	628	1	214099	3538	+
ch.8440	691	1	722031	28098	+
ch.12430	1124	3	224971	696487	+
ch.17244	826	1	165250	12038	+
ch.19187	797	2	45132	31658	+
ch.8870	550	1	109487	191	+
ch.995	725	1	25443	3195	+
ch.4927	1005	2	303051	316573	+
ch.12583	796	1	31810	202077	+
ch.10993	1098	1	17446	410417	+
ch.8474	910	1	175512	339124	+
ch.6744	681	1	31000	3164	+
ch.4701	1018	2	25466	668722	+
ch.3070	519	1	11438	411	+
ch.473	1111	2	2147340	918630	+
ch.7459	1104	1	647096	945338	+
ch.10752	982	1	34697	586042	+
ch.620	687	1	3384620	7029	+
ch.19082	655	2	16461	1665	+
ch.19313	834	1	52840	316236	+
ch.13599	636	1	40679	824	+
ch.9629	1192	1	4627840	834655	+
ch.10737	735	2	13173	99888	+
ch.12772	579	1	30062	14715	+
ch.4655	781	2	470854	83978	+
ch.15112	848	3	171976	236116	+
ch.12871	893	2	163374	84867	+
ch.467	807	1	551752	87799	+
ch.2099	898	2	637508	134794	+
ch.19154	557	1	994753	507	+
ch.11768	1056	1	72311	438572	+
ch.4477	843	1	32147	66304	+
ch.857	834	2	211673	54158	+
ch.11739	687	1	10414	32489	+
ch.17235	975	1	48019	58543	+
ch.10684	855	3	17127	651977	+
ch.4339	787	2	19164	166271	+
ch.13172	669	1	18040	6677	+
ch.7381	928	3	63320	365108	+
ch.18917	699	1	48999	71393	+
ch.9153	847	2	27077	720075	+
ch.3829	772	2	14279	44281	+
ch.13301	396	1	137382	28	+
ch.13397	623	1	1521120	1007	+
ch.14825	567	1	90560	379	+
ch.14504	1039	1	1541950	784357	+
ch.9254	1002	1	322705	280449	+
ch.11321	993	2	476086	437097	+
ch.7206	797	2	584531	8255	+
ch.9194	1002	3	363697	565654	+
ch.1918	871	2	38371	228745	+
ch.1848	948	2	19199500	619560	+
ch.11331	880	1	759135	110509	+
ch.14514	971	3	40756	506358	+
ch.8128	963	2	463451	947371	+
ch.18822	902	1	17626	55219	+
ch.6249	740	2	745524	1527	+
ch.1569	908	2	65311	65589	+
ch.14924	563	1	120907	88	+
ch.5160	770	2	396177	27387	+
ch.14627	687	1	9869380	3687	+
ch.3979	965	2	101882	225675	+
ch.7051	870	1	36561	372532	+
ch.18744	605	1	9048060	11044	+
ch.14801	489	1	27257	29	+
ch.1242	825	1	2616650	57210	+
ch.8530	1145	3	303429	939616	+
ch.595	960	3	6344660	408672	+
ch.3087	936	2	26826	792937	+
ch.12830	898	1	1683760	41694	+
ch.18368	531	1	560239	55	+
ch.8483	651	1	12150	3723	+
ch.13709	615	1	721080	3950	+
ch.1227	1045	2	944320	926297	+
ch.14169	620	1	19598	4079	+
ch.7828	934	3	1259320	129600	+
ch.8695	869	1	129090	129932	+
ch.933	996	1	307685	651518	+
ch.8825	760	1	1629280	33579	+
ch.4671	714	1	120067	46668	+
ch.12756	885	1	61211	389939	+
ch.15036	754	1	15657	65813	+
ch.4660	580	1	29123	521	+
ch.862	732	1	142499	9425	+
ch.20284	995	3	9713220	178751	+
ch.7979	664	1	708933	9787	+
ch.6611	563	1	259185	1157	+
ch.10767	1009	3	12155	839674	+
ch.4745	853	1	440384	145355	+
ch.3125	742	1	19704	45427	+
ch.12961	729	1	9836730	59601	+
ch.10924	790	1	57475	79425	+
ch.15142	860	2	333889	128639	+
ch.11769	1074	1	13568	902059	+
ch.1342	892	1	1986340	72723	+
ch.4567	1069	2	73176	653304	+
ch.11629	696	1	17221600	169008	+
ch.17234	843	1	57831	35203	+
ch.15331	930	3	461349	368536	+
ch.11738	670	1	93958	39031	+
ch.4476	870	1	41069	61464	+
ch.12411	526	2	23109	236	+
ch.10685	843	3	21654	366796	+
ch.10986	889	2	270096	98262	+
ch.18807	998	1	57063	995676	+
ch.16647	933	2	13827	760845	+
ch.19858	1031	2	73457	228303	+
ch.17589	1005	2	26558	818145	+
ch.11314	888	3	846256	818947	+
ch.18761	700	1	186397	2945	+
ch.13396	962	1	540002	759484	+
ch.18730	783	1	72997	32865	+
ch.18980	758	1	29746	20840	+
ch.7207	762	2	416375	73449	+
ch.18452	637	1	117505	8389	+
ch.18792	730	2	64603	63950	+
ch.18881	622	1	293805	4610	+
ch.18553	897	2	954741	302857	+
ch.11330	743	2	30084	1579	+
ch.16882	819	1	22873	410600	+
ch.9067	966	3	58825	171677	+
ch.14737	703	1	2038000	24994	+
ch.1428	670	1	43685	1109	+
ch.2490	721	1	45935	8501	+
ch.14626	687	1	9848300	3687	+
ch.2686	798	1	30182	635493	+
ch.3978	1178	2	20417	144369	+
ch.16717	587	1	21572	152	+
ch.18594	825	3	131145	68472	+
ch.2764	721	1	61174	5558	+
ch.10444	1123	2	590799	843403	+
ch.16148	976	1	94077	112398	+
ch.6472	852	1	38442	246271	+
ch.16119	724	1	18518100	124937	+
ch.5858	916	2	42631	912078	+
ch.17057	997	2	22401	220729	+
ch.5439	1008	2	1397580	830763	+
ch.18369	558	1	74799	36	+
ch.4644	1169	3	572448	955432	+
ch.10666	944	1	60351	364133	+
ch.8482	598	1	72104	604	+
ch.4807	943	2	1058410	167987	+
ch.9778	807	1	2004610	318944	+
ch.19213	995	1	63934	98858	+
ch.12854	961	1	13971	968545	+
ch.6775	662	1	11607	670	+
ch.12646	846	2	126997	579950	+
ch.12965	711	1	10419400	145367	+
ch.4481	678	1	62669	938	+
ch.12555	778	1	48393	63207	+
ch.8525	708	1	373357	11211	+
ch.10681	792	3	11542	96817	+
ch.700	838	1	140611	26912	+
ch.7949	713	1	16999300	44351	+
ch.3092	844	2	4125490	31836	+
ch.12743	713	1	738921	1121	+
ch.8970	761	2	23891400	137455	+
ch.17026	607	1	14757	2566	+
ch.1101	846	1	348055	35397	+
ch.12592	864	1	31343	80499	+
ch.17137	861	1	157432	46709	+
ch.1381	910	2	284272	226552	+
ch.6973	807	2	336020	112571	+
ch.4775	735	2	1080880	23470	+
ch.734	777	1	29097	26801	+
ch.8791	717	3	10049	34851	+
ch.5829	671	1	33252	17296	+
ch.5124	548	1	119735	85	+
ch.19518	635	1	244515	9638	+
ch.5175	849	2	2076400	26608	+
ch.11235	938	1	53141	455623	+
ch.5186	838	3	311963	345794	+
ch.10019	1064	2	304237	226929	+
ch.18895	644	1	284193	8611	+
ch.18456	716	2	207768	26877	+
ch.14746	847	2	62910	222295	+
ch.2962	758	1	784246	66192	+
ch.11023	867	3	1017950	555494	+
ch.1799	785	1	92256	201457	+
ch.11163	950	1	120937	460710	+
ch.14905	713	1	1294640	14405	+
ch.6239	824	1	299565	523253	+
ch.15748	894	1	24076	138263	+
ch.18433	972	2	27573	751031	+
ch.15599	905	2	117002	547444	+
ch.2793	668	1	94778	2061	+
ch.1828	998	3	409528	450892	+
ch.6278	956	1	6912100	91040	+
ch.10289	619	1	25526	1109	+
ch.19878	690	1	133181	28814	+
ch.9032	701	1	25889	17870	+
ch.14861	622	1	116826	582	+
ch.14921	618	1	290173	801	+
ch.16727	1047	2	30575	852219	+
ch.11056	949	1	50563	685746	+
ch.3438	756	1	61998	57828	+
ch.3236	811	1	159267	40437	+
ch.16129	915	1	16270	477373	+
ch.17245	715	1	16717	9552	+
ch.664	964	2	1384140	762128	+
ch.15022	915	2	1409580	92445	+
ch.19175	739	1	14492	20045	+
ch.6771	663	2	10354	5607	+
ch.18248	819	2	5844340	119270	+
ch.17036	631	1	49304	2389	+
ch.10955	670	1	518243	8467	+
ch.1187	1059	2	194251	501510	+
ch.3082	721	2	23405	135246	+
ch.17331	1010	2	194618	607393	+
ch.8564	771	1	1491720	76544	+
ch.10992	750	1	116350	5750	+
