# id	length	introns	RNAseq	isoforms
ch.162	776	1	1656890	63905
ch.6344	617	1	29934	1365
ch.1646	1041	2	708288	4957093
ch.15827	712	1	49380	64107
ch.15635	899	1	32547	667099
ch.13339	805	2	40706	119083
ch.10010	1001	2	429519	3078755
ch.8322	806	2	53160	35121
ch.1982	958	1	357439	1491517
ch.10197	761	2	305289	407975
ch.19756	901	1	17690	3359039
ch.10164	599	1	225111	946
ch.17584	659	1	106710	16005
ch.4286	975	2	505401	4277519
ch.8100	587	1	13220	6275
ch.18265	793	3	82484	878054
ch.3068	818	3	72694	67670
ch.7492	949	1	371391	1023869
ch.649	969	2	611986	4766099
ch.13873	1097	2	394029	7953329
ch.14110	888	3	163388	38303
ch.618	858	1	2118700	1924975
ch.5954	994	3	144976	3286319
ch.6739	926	1	811640	161119
ch.2330	826	2	5179870	106475
ch.1388	885	2	1911280	393173
ch.6768	707	2	148459	42048
ch.5501	864	3	2943880	175379
ch.14064	665	1	899297	33181
ch.15099	550	1	19403	1676
ch.13484	537	1	5547140	515
ch.7974	713	2	13674	5537
ch.16130	833	1	92809	2196044
ch.13655	688	1	119390	18545
ch.7964	478	1	11273	176
ch.7824	654	2	20362500	3985
ch.13614	639	1	2710080	6394
ch.5673	863	2	29758600	775313
ch.7554	1102	2	529118	1604719
ch.7785	805	3	10778	860744
ch.5511	834	1	94358	157737
ch.8938	838	3	22118	5588057
ch.5647	548	1	505946	3159
ch.9481	1015	2	3094310	730199
ch.9902	669	1	463918	1184
ch.16114	682	2	768778	175291
ch.13513	734	1	18510	48863
ch.13981	693	1	852236	97005
ch.14262	967	2	11845	1001987
ch.13542	767	1	14317	30147
ch.15943	730	1	13187	174387
ch.6002	554	1	61791	851
ch.11249	729	1	911828	132108
ch.1662	805	1	166961	5666661
ch.11189	568	1	45623	4267
ch.15751	868	2	61404	398935
ch.15522	737	2	256042	124678
ch.17427	926	2	10667	6341089
ch.10307	861	2	5800990	81719
ch.16908	929	1	18212	2873727
ch.19632	792	1	254861	193843
ch.241	776	2	455172	49809
ch.10051	724	2	96220	78190
ch.15977	884	1	28969	2116751
ch.15456	644	1	352041	929
ch.3571	920	2	162101	186593
ch.1425	776	2	128731	29279
ch.8206	921	3	379858	5273740
ch.1647	783	1	1150860	126125
ch.1804	1049	1	17820	4086409
ch.14418	696	1	28927	41993
ch.14789	752	2	81154	857
ch.10087	883	3	185926	1845831
ch.19524	693	1	92528	10625
ch.3414	612	1	33938	17819
ch.15533	827	1	1275460	53407
ch.19854	1030	1	42078	2667429
ch.8150	991	2	226538	298879
ch.3824	1082	2	66657	2459519
ch.1830	1067	4	118155	2801387
ch.17917	721	1	293210	28007
ch.6382	823	1	17627100	89599
ch.15952	967	1	239493	4644965
ch.11796	1047	3	165934	2453345
ch.16045	544	1	72737	447
ch.619	859	1	16501	343895
ch.1158	1010	1	1894270	761453
ch.11573	831	2	36952	2358449
ch.14216	894	1	26770	28229
ch.2331	894	2	15781400	345787
ch.18341	742	2	62258	132807
ch.5500	873	3	571170	588447
ch.14307	1017	1	1098750	5698754
ch.18310	711	1	19777	16860
ch.9675	851	2	227598	308579
ch.14065	684	1	462516	6827
ch.9735	647	1	17148	12099
ch.8408	940	4	35441	9925607
ch.5773	754	1	273817	32537
ch.18033	928	2	15106	448793
ch.13644	838	1	11988	1179021
ch.13615	585	1	4415550	1478
ch.12858	721	1	25392	15175
ch.7784	870	2	44731	501125
ch.18240	996	2	410430	5804135
ch.16243	919	1	57129	9778474
ch.7996	797	2	32191	42083
ch.13526	827	1	11289	1678319
ch.18211	780	2	40805	210887
ch.749	603	1	3613520	7125
ch.9711	727	1	85673	9869
ch.2077	1124	2	241238	1869751
ch.11936	698	2	248687	71882
ch.11635	740	2	342901	71365
ch.9903	771	1	4254710	193269
ch.19955	653	1	395097	3329
ch.17744	689	1	133192	3291
ch.8111	940	3	10801	8213139
ch.19716	838	2	107498	969499
ch.17715	521	1	50931	199
ch.6112	873	1	273411	2477739
ch.15750	505	1	40781	417
ch.17537	806	2	508210	28754
ch.5108	866	3	44250	145361
ch.15523	528	1	16985	523
ch.3643	871	3	56743	2451827
ch.4072	962	3	184737	3840715
ch.8096	587	1	47747	6275
ch.19500	884	2	32171	486348
ch.1535	786	2	12644600	168263
ch.10192	1039	2	491874	6048221
ch.4330	723	1	351213	51679
ch.3632	763	2	47907	36059
ch.19801	744	1	12766	5914
ch.1834	848	2	13219	328997
ch.15816	772	1	824891	54848
ch.6017	579	1	1479470	293
ch.8385	840	2	683935	1038971
ch.17406	967	1	314606	1266167
ch.15692	891	1	35910	183749
ch.1461	795	3	372245	133079
ch.4184	760	1	51781	70669
ch.12272	758	1	26396	412569
ch.4355	945	1	16721	658509
ch.8342	656	2	2193660	1926
ch.8160	549	1	24085	177
ch.3657	538	1	91327	420
ch.10295	970	1	409380	9097820
ch.1800	893	1	14889	97639
ch.9513	830	2	571515	6280
ch.14303	639	1	66464	4352
ch.3288	532	1	383317	649
ch.13953	789	1	12357	31409
ch.7672	841	2	505427	180095
ch.18136	639	1	671190	3857
ch.9832	602	1	452526	6807
ch.13506	683	1	31787	61767
ch.12829	824	1	986127	739799
ch.7464	767	1	858095	46866
ch.2210	800	2	48745	21573
ch.13786	1045	1	311391	4331495
ch.16150	663	1	91206	512
ch.7497	803	1	25112100	1092837
ch.5613	809	3	659619	611457
ch.7955	705	2	1912090	68279
ch.6749	708	1	1268240	3079
ch.6598	834	2	5278400	67723
ch.8909	545	1	1372690	549
ch.9566	1117	2	84612	1002431
ch.5431	973	2	7499090	6544229
ch.16273	679	1	24693	4835
ch.11881	722	2	524483	506993
ch.779	735	2	685191	19099
ch.14071	745	1	1701750	6385
ch.17189	969	3	502463	2250359
ch.5924	683	1	16636	100583
ch.10908	925	2	1803020	85799
ch.9692	869	1	14628	138149
ch.17877	911	1	16564	6103505
ch.15760	619	1	442722	2411
ch.8030	877	1	18598400	5193047
ch.10394	836	2	389491	271871
ch.15620	875	3	678577	806435
ch.6240	805	1	48145	30811
ch.8352	752	2	506198	741152
ch.1560	718	2	62239	113185
ch.8243	792	3	22780	362476
ch.15614	773	2	142334	578339
ch.1636	966	2	396498	2231893
ch.6396	922	2	391423	2444759
ch.15946	604	1	80653	373
ch.1727	698	2	20336	2035
ch.8277	673	1	99732	6317
ch.7739	916	3	428536	2105893
ch.8895	658	1	2219720	13925
ch.19251	727	1	39577	3404
ch.10463	898	2	257520	5752061
ch.15124	1077	1	288647	2481951
ch.540	520	1	221986	885
ch.1157	746	1	3507470	142610
ch.14219	535	1	149915	267
ch.19162	931	2	54273	7199117
ch.10581	819	3	1880470	185075
ch.17237	866	2	120355	723687
ch.6430	937	1	20682	3364175
ch.2039	843	2	17741	343339
ch.1250	1048	2	710053	1941407
ch.8433	756	2	3698550	31013
ch.1341	855	2	1205010	808079
ch.1201	598	1	320894	5389
ch.12962	711	1	10381000	460322
ch.6612	623	1	55628	4105
ch.1072	834	1	954598	36342
ch.10976	671	1	15583	4009
ch.7370	931	2	313630	857309
ch.13352	1047	3	255362	2106650
ch.4119	742	1	1409250	115415
ch.2784	650	2	1269480	19975
ch.11346	808	2	10222400	801135
ch.7292	986	2	786538	8309039
ch.18855	966	3	131100	8428811
ch.18915	813	1	333507	854731
ch.298	663	1	449660	5233
ch.10088	953	2	77621	3488351
ch.7204	993	3	202321	4089095
ch.18451	644	1	1265880	9926
ch.13395	768	1	1622640	93807
ch.15448	942	2	331188	1869375
ch.8089	644	1	65100	3091
ch.8209	732	1	398121	25171
ch.11381	719	1	679009	48500
ch.8349	920	1	27549	1244879
ch.8359	884	1	34084	1500314
ch.14866	694	2	15361	8975
ch.14625	690	1	6760920	145891
ch.15549	683	2	48866	2113
ch.15458	722	1	769841	1319
ch.14734	830	1	1331140	970073
ch.15518	895	1	133201	1881117
ch.9306	565	1	14561	1579
ch.6178	786	1	373585	25679
ch.5200	768	2	825411	88564
ch.5156	831	3	60387	1097810
ch.5016	768	1	244146	37118
ch.13253	827	2	33076	1137007
ch.11096	843	4	22560	3175360
ch.10725	1007	1	1320860	1175307
ch.8710	871	1	174907	1506347
ch.10937	917	1	262143	984411
ch.10774	757	1	670343	132689
ch.11939	755	2	171489	143765
ch.5618	755	2	145129	97647
ch.1240	996	3	338179	8462447
ch.17227	1096	1	28329	100111
ch.6560	864	2	66133	2989273
ch.17031	591	1	36822	11039
ch.19123	853	2	636538	62019
ch.1274	822	2	1286470	166803
ch.8786	817	2	572246	31547
ch.19350	620	1	376329	19661
ch.1205	616	1	2120170	1101
ch.4560	834	3	887487	118884
ch.4471	659	1	45938	18671
ch.9809	892	1	17443	2613818
ch.3180	904	2	83483	1001801
ch.12884	894	2	3386360	2619994
ch.10682	812	2	19147	587357
ch.15054	1068	3	15585	6618395
ch.1076	842	1	684439	146897
ch.12966	702	1	9650150	72230
ch.4742	954	3	21054600	5545007
ch.6707	735	1	222201	3900
ch.19152	603	1	552692	791
ch.6804	510	1	21612	1488
ch.8683	908	2	1172270	2133833
ch.19255	697	1	93019	1223
ch.3225	1028	1	81649	1251505
ch.15093	973	2	333790	9929807
ch.6451	880	1	650078	295621
ch.8891	1025	1	16331	2672599
ch.3287	522	1	807866	336
ch.10857	678	2	1949550	857
ch.5888	825	1	200314	197039
ch.12740	776	1	764419	173048
ch.10645	879	2	1193980	538399
ch.4824	776	1	11928	691919
ch.14553	833	2	17012	156087
ch.18544	834	2	412520	334106
ch.18626	705	1	142283	24317
ch.18677	721	1	19944	30118
ch.14823	563	1	50616	406
ch.14567	833	2	17002	156087
ch.7325	938	2	14141	4783079
ch.5331	780	2	416830	25427
ch.5053	1037	1	820371	2538647
ch.18643	892	2	96449	7647163
ch.18940	765	1	12005	8573
ch.14916	637	1	73276	1267
ch.13075	969	2	192711	3051167
ch.16650	536	1	31803	383
ch.15439	840	1	29624	31058
ch.8278	820	1	528825	124956
ch.14947	824	2	649901	115547
ch.15468	780	1	61467	791504
ch.6008	584	1	292585	477
ch.13206	928	1	48337	42635
ch.13197	467	1	76040	190
ch.5321	733	2	88284	60597
ch.6059	614	1	152925	1219
ch.7172	752	1	364958	21809
ch.17419	863	1	51059	891862
ch.19999	909	1	3404150	1033043
ch.18875	635	1	293882	4982
ch.14621	613	1	776116	6742
ch.17829	829	1	908046	420851
ch.7301	916	2	422946	1960355
ch.6632	600	1	539627	3025
ch.15130	901	2	22759	4171712
ch.10744	742	2	258604	209999
ch.10604	809	2	404096	340279
ch.2299	1060	1	37772	5637215
ch.4795	610	1	22318	2447
ch.17246	934	3	115866	3038595
ch.6441	615	1	15156	1750
ch.3235	847	2	418269	15857
ch.8594	620	1	232434	1201
ch.4851	870	2	10546	1107421
ch.10661	912	3	332950	1809155
ch.19053	791	2	29291	28403
ch.10443	830	2	13683	1663499
ch.17223	939	2	14756	573695
ch.8476	655	1	23742	14955
ch.1184	609	1	364084	4185
ch.702	793	2	18219200	1155267
ch.6464	1005	4	155856	6512011
ch.8806	690	1	99251	7191
ch.6757	694	1	1831880	2463
ch.12775	855	1	2553800	352631
ch.19013	819	2	180608	133799
ch.13508	688	1	10002	9239
ch.4444	952	2	160198	2323913
ch.2148	837	2	86324	1824317
ch.2119	845	2	10426	1689418
ch.8620	973	1	56582	192159
ch.17024	966	2	12571	1179135
ch.15121	775	1	46918	14345
ch.12741	437	1	10018	54
ch.3748	750	1	66108	63647
ch.17838	883	2	36261	1563064
ch.18767	751	1	88929	226637
ch.10379	953	2	333695	3257969
ch.18676	618	1	9983050	4059
ch.7375	819	2	440008	332353
ch.2931	863	1	285847	322629
ch.7157	697	1	119746	24329
ch.15539	795	2	17932	13383
ch.11130	960	3	116356	2029817
ch.16853	868	2	64287	267615
ch.12308	947	1	476203	643895
ch.14917	560	1	87028	163
ch.11171	585	1	16427	2136
ch.7287	608	1	413007	4973
ch.9395	507	1	17176400	870
ch.1999	779	1	28575	310293
ch.2762	553	1	421472	211
ch.8339	795	1	1728840	26531
ch.2892	891	2	1336750	962779
ch.6009	719	1	95098	3689
ch.18421	893	2	1001930	306587
ch.7033	797	2	60327	32239
ch.10369	549	1	81867	294
ch.14923	535	1	150371	97
ch.9183	591	1	407146	531
ch.1053	897	3	158680	1721870
ch.6870	613	1	901164	2991
ch.15131	814	3	10879	467821
ch.10906	964	2	3575310	1047167
ch.4405	893	3	62978	90077
ch.6691	810	3	25499	110197
ch.3234	561	1	34495	980
ch.11959	919	3	776973	2494007
ch.15294	653	1	2073520	21360
ch.10720	967	1	956447	1302263
ch.13549	791	1	11293	213785
ch.7598	971	1	431528	5957160
ch.7609	613	1	60833	1014
ch.10553	760	2	598775	22779
ch.7718	1030	2	522723	3813259
ch.9929	679	1	108211	6978
ch.19341	879	3	3077300	700265
ch.8797	1009	2	245036	116429
ch.10462	615	1	18238	2619
ch.12745	719	1	138981	10583
ch.1047	842	2	11932	1080755
ch.8764	909	2	109145	168359
ch.5489	866	2	108490	521625
ch.3214	792	4	11938	838558
ch.3185	1015	2	23841	1174559
ch.8463	968	2	471985	3049487
ch.6520	634	1	26444	7006
ch.19375	932	2	1567900	968159
ch.8432	868	2	451810	1275709
ch.1340	929	2	311168	60908
ch.1200	801	1	1501530	23807
ch.6702	874	1	19364600	1570559
ch.3067	621	1	11836	769
ch.15140	970	1	455117	2404727
ch.4487	670	1	95626	1191
ch.13213	638	1	11673	9239
ch.2886	897	1	20585600	2677919
ch.4009	889	1	42319	272525
ch.13302	816	2	134510	263503
ch.18914	813	1	154712	43772
ch.2531	1050	2	44935	4743807
ch.11262	918	1	1067920	1980973
ch.18450	651	1	1487660	8489
ch.13394	510	1	536211	39
ch.18672	585	1	3378800	2825
ch.18971	748	1	10337	92114
ch.16731	724	2	96098	64064
ch.16661	910	2	56197	4060265
ch.7126	912	1	164536	716312
ch.14927	572	1	111841	99
ch.2800	726	2	71778	13109
ch.8309	813	3	501101	73931
ch.7184	855	1	205249	24371
ch.16783	1061	2	39492	4939943
ch.18780	889	2	1089230	1841619
ch.16692	890	1	124528	789719
ch.9356	1062	2	262605	3570599
ch.15869	604	1	2482110	734
ch.16443	879	4	24920	6977715
ch.9216	871	2	51330	312255
ch.1599	881	1	484370	2288629
ch.7003	903	2	12104	3197087
ch.2766	827	1	101581	2132999
ch.18815	702	1	19990	26200
ch.16816	1090	2	20196	620767
ch.17539	661	3	23297	7024
ch.11357	1053	2	31810	2125175
ch.8952	953	1	1031310	3531149
ch.19116	708	2	2372950	30431
ch.19287	917	1	52848	1693091
ch.6483	799	2	70552	192171
ch.1172	831	2	490571	111545
ch.20080	1008	1	2248660	4479807
ch.4757	598	1	11922	434
ch.19007	901	1	244182	1140095
ch.19225	1055	1	10753	3285839
ch.4524	685	1	25428	4279
ch.19033	931	2	29682	4204053
ch.15164	592	1	3668820	3453
ch.8966	1172	1	14330	2253383
ch.3370	890	1	47990	20927
ch.19351	565	1	13342	5568
ch.6996	938	2	402391	644617
ch.19180	633	1	37061	7159
ch.12964	805	2	712540	1799319
ch.1074	884	1	981828	441532
ch.1316	937	2	56693	3048381
ch.750	551	1	43834400	153
ch.12554	805	1	444973	388029
ch.19263	987	2	407573	1599731
ch.8524	837	1	3375380	104564
ch.4665	801	1	990833	859235
ch.19075	966	2	1699620	9295991
ch.4725	736	1	417122	11399
ch.15173	619	1	315151	4343
ch.12653	593	1	27836	2027
ch.4774	830	2	741196	602171
ch.6453	905	2	170942	584639
ch.12471	884	1	20397900	719333
ch.8790	894	1	56913	3817877
ch.1373	943	3	33792	5615639
ch.10525	745	2	566128	43028
ch.4696	1037	3	340189	6580943
ch.3367	490	1	12602	407
ch.15300	884	1	303944	981830
ch.15091	686	1	4742840	3487
ch.18675	718	1	562383	445255
ch.14633	849	1	95633	262987
ch.2485	1039	1	256480	2619419
ch.14930	619	1	25915	10095
ch.6238	825	1	57772	407466
ch.7376	571	1	546512	1502
ch.11340	793	2	1897220	140942
ch.11191	975	1	137223	9475439
ch.7337	937	2	335698	1201271
ch.15759	701	1	22099	2845
ch.18480	604	1	18940	1259
ch.11063	643	2	10918	8395
ch.9091	733	2	495742	40498
ch.11335	1122	1	917824	2606493
ch.10288	585	1	30048	342
ch.10399	732	2	265446	86543
ch.5206	831	1	664305	611744
ch.5197	789	2	20234000	965525
ch.9180	833	2	616191	22051
ch.2947	712	1	307510	21125
ch.14920	806	1	14441	347579
ch.7170	708	1	233258	34859
ch.14672	628	1	214099	4827
ch.8440	691	1	722031	38537
ch.17244	826	1	165250	21254
ch.19187	797	2	45132	52311
ch.8870	550	1	109487	205
ch.995	725	1	25443	3827
ch.4927	1005	2	303051	2442491
ch.12583	796	1	31810	1031085
ch.12911	973	1	64594	59456
ch.19125	1016	2	130058	7165259
ch.12795	930	3	119689	396751
ch.10993	1098	1	17446	5316623
ch.8474	910	1	175512	1774794
ch.6744	681	1	31000	3236
ch.4701	1018	2	25466	7715435
ch.3070	519	1	11438	411
ch.10583	771	1	33315	116230
ch.620	687	1	3384620	8055
ch.19082	655	2	16461	1665
ch.19313	834	1	52840	1711223
ch.13599	636	1	40679	845
ch.12535	657	1	585992	1135
ch.10737	735	2	13173	221621
ch.12772	579	1	30062	15387
ch.4655	781	2	470854	264142
ch.15112	848	3	171976	1347011
ch.12871	893	2	163374	266039
ch.467	807	1	551752	197009
ch.2099	898	2	637508	561279
ch.19154	557	1	994753	507
ch.11768	1056	1	72311	4855331
ch.4477	843	1	32147	125855
ch.857	834	2	211673	88997
ch.11739	687	1	10414	58185
ch.17235	975	1	48019	258832
ch.8460	992	2	13982	1197503
ch.10684	855	3	17127	4985103
ch.4339	787	2	19164	446481
ch.13172	669	1	18040	7397
ch.7381	928	3	63320	2916263
ch.18917	699	1	48999	144298
ch.9153	847	2	27077	4309393
ch.3829	772	2	14279	83615
ch.269	690	1	19580800	3666
ch.13301	396	1	137382	38
ch.14637	567	1	337175	3431
ch.13397	623	1	1521120	1067
ch.14825	567	1	90560	379
ch.9254	1002	1	322705	2524288
ch.11321	993	2	476086	4189467
ch.7206	797	2	584531	8945
ch.9194	1002	3	363697	7370925
ch.1918	871	2	38371	984836
ch.1848	948	2	19199500	7244260
ch.11331	880	1	759135	576974
ch.14514	971	3	40756	5227122
ch.18822	902	1	17626	155715
ch.6249	740	2	745524	1695
ch.1569	908	2	65311	234050
ch.14924	563	1	120907	88
ch.5160	770	2	396177	36179
ch.14627	687	1	9869380	3771
ch.3979	965	2	101882	2524159
ch.7051	870	1	36561	1686463
ch.18744	605	1	9048060	12569
ch.14801	489	1	27257	29
ch.1242	825	1	2616650	124863
ch.12400	993	2	388794	5535893
ch.595	960	3	6344660	1453895
ch.16118	695	2	37616	11237
ch.12830	898	1	1683760	165167
ch.18368	531	1	560239	55
ch.8483	651	1	12150	3973
ch.13709	615	1	721080	4679
ch.14169	620	1	19598	4079
ch.7828	934	3	1259320	915522
ch.8695	869	1	129090	427247
ch.933	996	1	307685	4427327
ch.8825	760	1	1629280	73589
ch.4671	714	1	120067	78399
ch.12756	885	1	61211	2167599
ch.8865	792	2	454313	57751
ch.15036	754	1	15657	179579
ch.4660	580	1	29123	607
ch.862	732	1	142499	11589
ch.14069	1008	3	1514230	2203871
ch.20284	995	3	9713220	1365059
ch.7979	664	1	708933	10655
ch.6611	563	1	259185	1157
ch.10676	929	1	599705	4197071
ch.4745	853	1	440384	656837
ch.3125	742	1	19704	77371
ch.12961	729	1	9836730	167591
ch.10924	790	1	57475	185535
ch.15142	860	2	333889	464191
ch.1342	892	1	1986340	265238
ch.11629	696	1	17221600	294583
ch.17234	843	1	57831	91059
ch.15331	930	3	461349	2966423
ch.11738	670	1	93958	49982
ch.4476	870	1	41069	125317
ch.12411	526	2	23109	236
ch.10685	843	3	21654	2356262
ch.10986	889	2	270096	237423
ch.19858	1031	2	73457	2333351
ch.11314	888	3	846256	6825671
ch.18761	700	1	186397	2945
ch.13396	962	1	540002	9353511
ch.18730	783	1	72997	55981
ch.18980	758	1	29746	30812
ch.7207	762	2	416375	117662
ch.18452	637	1	117505	12188
ch.18792	730	2	64603	140807
ch.18881	622	1	293805	4982
ch.14896	899	1	144967	79745
ch.18553	897	2	954741	2282597
ch.11330	743	2	30084	1767
ch.16882	819	1	22873	2521992
ch.9067	966	3	58825	886567
ch.14737	703	1	2038000	37346
ch.1428	670	1	43685	1109
ch.2490	721	1	45935	12392
ch.14626	687	1	9848300	3771
ch.2686	798	1	30182	3880349
ch.3978	1178	2	20417	1443419
ch.16717	587	1	21572	152
ch.18594	825	3	131145	188527
ch.2764	721	1	61174	5858
ch.3346	935	2	69361	2916839
ch.10444	1123	2	590799	8730297
ch.16148	976	1	94077	448551
ch.6472	852	1	38442	1328821
ch.16119	724	1	18518100	360041
ch.17057	997	2	22401	1976735
ch.18369	558	1	74799	36
ch.10666	944	1	60351	2418511
ch.8482	598	1	72104	604
ch.4807	943	2	1058410	669499
ch.9778	807	1	2004610	1092371
ch.19213	995	1	63934	441689
ch.6775	662	1	11607	703
ch.12646	846	2	126997	3218639
ch.12965	711	1	10419400	460322
ch.4481	678	1	62669	938
ch.10971	902	3	708239	379139
ch.12555	778	1	48393	156569
ch.8525	708	1	373357	11979
ch.10681	792	3	11542	330479
ch.700	838	1	140611	77767
ch.7949	713	1	16999300	71735
ch.3092	844	2	4125490	78896
ch.12743	713	1	738921	1469
ch.8970	761	2	23891400	359116
ch.17026	607	1	14757	2566
ch.1101	846	1	348055	64037
ch.12592	864	1	31343	184017
ch.17137	861	1	157432	86363
ch.1381	910	2	284272	1300144
ch.6973	807	2	336020	472349
ch.4775	735	2	1080880	27535
ch.734	777	1	29097	30941
ch.8791	717	3	10049	75862
ch.5829	671	1	33252	23652
ch.5124	548	1	119735	102
ch.16766	983	2	11298	2779439
ch.19518	635	1	244515	11417
ch.5175	849	2	2076400	189311
ch.11235	938	1	53141	8179475
ch.5186	838	3	311963	1659636
ch.19868	1029	2	144646	2985649
ch.10019	1064	2	304237	2252339
ch.18895	644	1	284193	10105
ch.18456	716	2	207768	44431
ch.14746	847	2	62910	849139
ch.2962	758	1	784246	107909
ch.11023	867	3	1017950	1972647
ch.1799	785	1	92256	611869
ch.11163	950	1	120937	6428435
ch.14905	713	1	1294640	24465
ch.6239	824	1	299565	3937139
ch.15748	894	1	24076	575999
ch.15599	905	2	117002	2894113
ch.2793	668	1	94778	2079
ch.1828	998	3	409528	5367431
ch.6278	956	1	6912100	291346
ch.10289	619	1	25526	1157
ch.19878	690	1	133181	43602
ch.9032	701	1	25889	21295
ch.14861	622	1	116826	594
ch.14921	618	1	290173	801
ch.11056	949	1	50563	6348287
ch.3438	756	1	61998	114393
ch.3236	811	1	159267	71911
ch.16129	915	1	16270	3154449
ch.17245	715	1	16717	13139
ch.664	964	2	1384140	8711795
ch.15022	915	2	1409580	497319
ch.19175	739	1	14492	27150
ch.6771	663	2	10354	6151
ch.18248	819	2	5844340	294777
ch.17036	631	1	49304	2471
ch.10955	670	1	518243	11947
ch.1187	1059	2	194251	2839032
ch.3082	721	2	23405	346823
ch.17331	1010	2	194618	9698987
ch.8564	771	1	1491720	123807
ch.10992	750	1	116350	7185
ch.8535	917	1	714052	778346
ch.10662	598	1	290673	471
ch.20197	948	1	14347	1643065
ch.1065	816	1	360685	204215
ch.10821	839	2	696552	561437
ch.4700	998	1	156906	6836894
ch.6485	836	3	53646	2146701
ch.4912	785	2	577136	145311
ch.3710	605	1	46345	8423
ch.15874	648	1	32260	854
ch.10292	575	1	31983	382
ch.13399	593	1	3314360	539
ch.8085	783	1	658908	58887
ch.19542	841	2	20767	239777
ch.8194	929	2	47620	509795
ch.2559	759	1	5238140	132625
ch.1833	783	1	74663	106821
ch.3635	910	2	10477	9297350
ch.2788	640	1	32143	1843
ch.5368	907	2	74427	38038
ch.19857	479	1	418741	29
ch.15592	731	2	57185	40698
ch.267	706	1	1819810	5666
ch.6323	775	1	34086	885511
ch.12210	524	1	554603	581
ch.4277	805	2	111699	15529
ch.17435	603	1	27414	2213
ch.14052	755	1	261903	108415
ch.4479	774	1	46810	209571
ch.18105	813	3	93071	704111
ch.3248	1171	1	54229	7458632
ch.4428	538	1	20064	481
ch.19378	1003	3	32816	2863007
ch.13820	1022	1	383776	765161
ch.4568	779	4	54941	52639
ch.18154	542	1	20478	781
ch.9431	744	1	197285	53963
ch.10739	572	1	35771	158
ch.2217	898	1	98779	4964783
ch.18160	859	2	2375720	78587
ch.14037	800	2	162135	45572
ch.2110	481	1	346144	34
ch.9676	868	2	85816	254246
ch.7764	913	2	136140	676341
ch.9835	995	1	362056	8262197
ch.5721	669	1	215725	1529
ch.14215	673	1	26558	43603
ch.2332	934	1	608836	3010481
ch.11420	586	1	232028	1337
ch.8639	796	2	828555	166496
ch.12589	966	1	117022	9235839
ch.13574	623	1	34751	2435
ch.11482	840	2	22203200	2126407
ch.9825	796	2	52078	109547
ch.9726	573	1	203802	844
ch.2011	690	1	1172750	5571
ch.5863	860	2	466559	172737
ch.7725	736	1	11273	3053777
ch.10638	830	2	458925	185391
ch.13511	626	1	10136	9734
ch.16056	798	1	76288	146487
ch.7952	734	1	936446	42437
ch.9652	624	1	13416	9875
ch.2025	835	2	15866400	1063019
ch.14293	848	2	16490600	4794663
ch.10999	818	1	405621	182951
ch.13622	853	1	12266	237369
ch.5705	902	2	528887	2217355
ch.16147	595	1	114292	114
ch.15460	801	2	45883	13801
ch.1872	679	1	215483	10975
ch.1660	822	2	21546400	553550
ch.8112	733	2	33210	697857
ch.19880	620	1	236792	9858
ch.4082	712	1	3763410	59387
ch.6187	814	2	237949	638363
ch.17411	863	1	121829	239355
